subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, _____ and discipline are the basic necessities of an organised society.(A) Peace(B) Harmony(C) Prosperity(D) Progress(E) Hierarchy(F) Concord ,,,,,,5,2,A and B,B and F,D and F,C and D,A and D
,,," With the increase in human activities, there has been _____ use of natural resources thereby causing disharmony between human beings and the natural environment.(A) planned(B) reckless(C) excessive(D) careful(E) sustained(F) avaricious ",,,,,,5,2,C and F,B and C,A and D,B and F,D and E
,,, The city is a unique blend of tradition and _____ because it still retains its old world charm despite rapid urbanisation.(A) history(B) progress(C) modernity(D) retrogression(E) liberalism ,,,,,,5,3,A and F,A and B,C and E,D and F,D and E
,,, The island looks very _____ because there are hardly any inhabitants dwelling in it. (A) parlous(B) perilous(C) commodious(D) picturesque(E) deserted(F) desolate ,,,,,,5,5,A and B,B and D,C and D,C and F,E and F
,,, One must not be _____ by failure because it is often said that failure is the stepping stone to success.(A) influenced(B) hapless(C) affronted(D) disheartened(E) discouraged(F) inspired ,,,,,,5,4,A and E,A and B,B and C,D and E,A and F
,,, Leadership is the ability to secure desirable actions from a group of followers voluntarily without the use of _____.(A) coercion(B) blandishments(C) discipline(D) deception(E) punishment(F) cajolery ,,,,,,5,1,A and F,B and C,B and D,B and C,D and E
,,, Pollutants present in the environment are said to have a _____ effect on human health and are responsible for causing many diseases.(A) deleterious(B) salubrious(C) detrimental(D) soporific(E) seminal(F) somnolent ,,,,,,5,3,B and D,D and F,A and B,D and E,B and D
,,," Despite _____ laws, poaching of wild animals is still carried out clandestinely in some parts of the country.(A) legal(B) penal(C) stringent(D) binding(E) dimunitive(F) violable ",,,,,,5,3,A and B,B and E,C and D,D and B,C and F
,,," What leads to peace is not violence but peace ableness, which is not _____, but an alert, informed, practiced and active state of being. (A) passivity(B) lethargy(C) sensitivity(D) ignorance(E) obedience(F)  enlightenment ",,,,,,5,1,A and B,A and D,B and E,C and F,D and F
,,," _____ and remote in the Bay of Bengal, the Andaman and Nicobar islands is a paradise, once inhabited only by little-known tribes.(A) Secluded(B) Impossible(C) Encroached(D) Isolated(E) Scattered(F) Abandoned ",,,,,,5,4,B and C,D and E,C and E,A and D,A and B
,,," For most _____ plants and animals, there is no way back from a place on the list of endangered species.(A) exotic(B) threatened(B) imperiled(D) extant(E) wild(F) extinct ",,,,,,5,2,A and B,B and C,A and D,B and F,E and F
,,," All citizens of the world must show respect to the constitution, and must not view the law and order machinery with _____.(A) reverence(B) contempt(C) sincerity(D) disdain(E) allegiance(F) dignity ",,,,,,5,4,A and B,C and E,C and F,B and D,E and D
,,, Pulsating with power and _____ an image of Lord Surya is believed to dispel darkness and is usually worn as an amulet strung from a gold chain.(A) pelf(B) radiance(C) resplendence(D) prestige(E) enlightenment(F) wisdom ,,,,,,5,2,A and F,B and C,D and E,B and D,A and B
,,, Social entrepreneurs are committed individuals who have a dedicated streak that does not allow them to get _____ from their chosen mission.(A) obsessed(B) divested(C) digressed(D) diverted(E) focused(F) obviated ,,,,,,5,4,A and E,B and F,C and A,C and D,A and F
,,," It is a/an _____ that while almost every religion stands for and preaches the universal brotherhood of man, religion has been a constant source of conflict in human history.(A) dilemma(B) paradox(C) coincidence(D) ambiguity(E) contiguity(F) irony ",,,,,,5,2,A and D,B and F,A and B,C and E,B and D
,,, Money and power can bring _____ happiness but at the same time they also bring in an equal amount of misery.(A) spiritual(B) mental(C) material(D) worldly(E) psychological(F) emotional ,,,,,,5,3,A and B,E and F,C and D,D and E,A and C
,,, The _____ utilization of human resources can not only help in economic development but can also help in reducing the rate of unemployment.(A) drastic(B) effective(C) minimal(D) optimal(E) nominal(F) voracious ,,,,,,5,2,A and F,B and D,D and F,B and C,D and E
,,," Plural and open demo cracles are the targets of the scourge of terrorism that strikes at the very root of _____, the mainstay of civil society in a free world. (A) injustice(B) dishonesty(C) tolerance(D) violence(E) acceptance(F) treachery ",,,,,,5,3,A and B,D and F,C and E,B and C,C and D
,,, Those who champion the cause of women seek to _____ their rights and power.(A) demand(B) establish(C) uphold(D) assert(E) transform(F) transcend ,,,,,,5,4,E and F,A and B,B and C,C and D,D and E
,,, The Federation of Andhra Pradesh Industries has expressed concern at the _____ financial situation and has threatened to launch an agitation if the government does not extend concessions.(A) exacerbating(B) deteriorating(C) rising(D) diminishing(E) receding(F) escalating ,,,,,,5,2,A and E,A and B,C and D,C and E,C and F
,,," Despite wide campaigning for their _____ and several advances, a large majority of women remain voiceless and powerless.(A) empowerment(B) remonstration(C) education(D) emancipation(E) security(F) edification ",,,,,,5,4,A and F,B and F,C and D,A and D,C and E
,,, Tolerance is _____ for peaceful relations among the members of a society.(A) egalitarian(B) indispensable(C) redundant(D) imperative(E) phenomenal(F) apparent ,,,,,,5,2,A and B,B and D,B and C,E and F,C and E
,,," The easiest and most efficient way to encourage or secure _____ with international norms is through voluntary, not coercive means.(A) conformity(B) judiciousness(C) discipline(D) compliance(E) ingenuity(F) correspondence ",,,,,,5,1,A and D,B and C,B and E,A and F,E and F
,,, A person who remains courageous even during times of _____ will ultimately emerge successful.(A) grief(B) adversity(C) destruction(D) horror(E) suffering(F) cheer ,,,,,,5,2,A and B,B and E,A and E,C and D,A and D
,,, The natural beauty of the _____ location and its lush vegetation and wildlife have been a rich source opportune of inspiration for artists and naturalists. (A) chaotic(B) scenic(C) picturesque(D) rustic(E) opulent(F) terrestrial ,,,,,,5,3,A and D,D and E,B and C,E and F,A and B
,,," After a protracted illness which left her weak and _____, she is now on the road to recovery.(A) energized(B) debilitated(C) invigorated(D) emaciated(E) robust(F) enervated ",,,,,,5,2,A and C,B and F,D and E,B and D,E and F
,,, Although she was _____ by his infuriating remarks she remained calm and composed.(A) piqued(B) riled(C) amused(D) beguiled(E) captivated(F) regaled ,,,,,,5,2,C and F,A and B,D and E,E and F,C and D
,,, His diligence and _____ execution of any task assigned to him is worthy of emulation.(A) perfunctory(B) punctilious(C) meticulous(D) slipshod(E) desultory(F) tactful ,,,,,,5,3,A and B,A and E,B and C,D and E,E and F
,,," Although he believes in expressing his views openly, his _____ earned him few friends and many enemies.(A) haughtiness(B) superciliousness(C) imperiousness(D) forthrightness(E) insolence(F) candidness ",,,,,,5,4,A and B,B and C,C and D,D and F,E and F
,,," While enduring extreme hardships in life, what one needs is mental _____ and not just physical stamina.(A) energy(B) resilience(C) flexibility(D) sanity(E) resistance(F) restraint ",,,,,,5,2,A and E,B and C,B and E,A and D,E and F
,,, Indian film studios are now competent enough to produce sophisticated creative content with their technical _____.(A) capability(B) affluence(C) impact(D) prowess(E) support(F) Prowl ,,,,,,5,4,D and F,B and C,C and E,A and D,E and F
,,, The bank readily accepted to provide him assistance in the form of _____.(A) subsidies(B) stakes(C) alimony(D) wherewithal(E) assets(F) sustenance ,,,,,,5,1,A and D,B and C,A and F,A and B,E and F
,,, The extraordinary combination of _____ and experience puts him in an eminently advantageous position of being selected as the captain of the team.(A) originality(B) rationality(C) skill(D) cleverness(E) expertise(F) position ,,,,,,5,5,A and C,B and D,E and F,D and E,C and E
,,," In spite of the _____ weather of the place, the idyllic surroundings attract many a tourist to this beautiful resort.(A) inclement(B) balmy(C) salubrious(D) parlous(E) hostile(F) rugged ",,,,,,5,2,A and D,A and E,C and D,D and E,E and F
